# chipvoice register log v1
# name: song-golden
# chip: c64
# clock: 985248
# cycles: 3940992
# source: packages/chipvoice/test/golden-c64.mjs
# notes: 152 bpm, 4 s, through the driver
0 D418 0F
3793301 D40E FF
3793305 D40F FF
3793309 D410 00
3793313 D411 08
3793317 D413 00
3793321 D414 B1
3793325 D412 81
3809722 D414 61
3826046 D406 E1
3826142 D414 21
3842467 D406 D1
3842563 D412 80
3858888 D406 C1
3858984 D40E A2
3858988 D40F 0E
3858992 D410 00
3858996 D411 0E
3859000 D413 00
3859004 D414 91
3859008 D412 41
3875405 D40E 67
3875409 D40F 11
3875413 D414 81
3891730 D406 B1
3891826 D40E ED
3891830 D40F 15
3891834 D414 71
3908246 D40E A2
3908250 D40F 0E
3924571 D406 A1
3924667 D40E 67
3924671 D40F 11
3924675 D414 61
